"","Aa","Ab","Ac","Ad","Ae","Af","ST01","SU02","D03","ST04","SU05","D06","D07","SU08","ST09","SU10","D11","ST12","SU13","D14","D15","SU16","ST17","SU18","D19","ST20","SU21","D22","D23","SU24","ST25","SU26","D27","ST28","SU29","D30","D31","SU32","Ca","Cb","Cc","Cd","Ce","Cf","Cg","Ch","Da","Db","Dc","Dd","De","Df","Dg","Dh","Di","Dj","Age","Attitude","Points","gender","deep","surf","stra","attitude"
"120",2,1,1,2,2,1,4,4,4,4,2,4,4,3,2,2,4,4,2,5,4,3,2,2,5,2,4,4,4,2,4,4,4,4,3,4,4,5,4,5,4,3,4,2,4,4,3,4,4,4,4,2,3,2,2,4,22,32,19,"F",4.16666666666667,3,3.25,3.2
"121",1,2,2,2,2,2,2,4,3,2,5,2,1,2,4,4,3,1,4,2,2,4,4,4,4,1,4,2,2,4,2,5,2,1,3,2,2,5,5,3,4,5,5,2,2,5,3,4,5,3,5,1,4,1,2,5,25,33,24,"F",2.25,4,2.125,3.3
"122",4,1,3,2,1,1,4,4,5,3,2,3,4,2,3,2,3,2,3,4,3,2,3,4,3,2,4,2,2,4,4,4,4,2,3,3,4,5,4,4,3,2,5,3,3,3,4,4,4,4,4,3,4,4,4,4,20,39,28,"F",3.33333333333333,3.25,2.875,3.9
"123",3,2,2,2,1,1,2,5,2,1,4,3,3,3,1,4,4,2,4,3,4,3,2,3,3,2,2,2,2,3,1,5,3,1,3,4,4,3,3,2,2,2,3,3,2,1,3,3,4,3,4,2,4,3,2,5,24,33,21,"M",3.08333333333333,3.5,1.5,3.3
"124",2,2,1,1,1,1,3,4,3,3,4,3,3,4,4,3,3,2,3,3,2,4,3,2,3,1,3,2,2,4,2,4,3,2,3,3,3,4,4,4,3,4,5,2,3,4,3,3,4,4,4,2,3,2,2,3,20,30,24,"F",2.75,3.5,2.5,3
"125",2,2,3,1,1,2,4,1,4,3,4,4,4,4,4,2,2,4,5,3,2,4,3,4,4,2,3,3,4,5,4,5,2,2,4,4,3,5,3,3,4,5,3,2,4,4,4,4,4,4,4,2,4,5,3,3,21,37,24,"M",3.25,3.83333333333333,3.25,3.7
"126",3,1,3,1,1,1,5,3,5,4,4,4,3,3,4,2,4,3,2,4,3,2,3,3,4,4,3,4,2,3,2,5,3,1,2,4,5,5,5,5,4,4,4,2,4,4,1,2,1,2,2,1,1,1,1,2,26,14,0,"F",3.75,3.08333333333333,3.25,1.4
"127",4,1,1,1,1,1,4,3,5,3,2,5,5,4,2,2,5,4,2,5,4,2,3,1,4,2,2,5,4,4,1,2,5,1,1,5,5,5,4,5,5,3,4,4,5,4,3,4,4,3,4,1,3,1,3,4,28,30,0,"M",4.75,2.5,2.5,3
"128",3,2,2,1,1,1,4,2,4,3,3,5,4,3,4,1,4,4,3,4,3,3,5,1,5,4,3,4,3,4,2,4,4,3,3,3,5,5,4,5,4,4,5,3,3,3,3,4,3,1,3,1,3,2,1,4,20,25,20,"F",4,2.91666666666667,3.625,2.5
"129",2,2,1,1,1,2,4,2,4,4,2,3,4,2,4,1,3,3,1,4,2,3,3,1,4,5,1,4,4,2,4,5,4,4,1,3,4,5,2,4,4,3,4,1,3,4,2,3,3,4,4,1,3,2,4,3,20,29,19,"F",3.58333333333333,2.16666666666667,3.875,2.9
"130",4,1,1,1,1,1,4,1,4,3,2,4,5,1,4,1,4,5,2,5,3,1,3,1,4,4,2,5,3,1,4,2,4,4,2,4,4,4,3,5,4,4,5,5,5,4,3,5,4,3,4,3,3,5,4,5,31,39,30,"M",4.08333333333333,1.66666666666667,3.875,3.9
"131",4,1,1,1,1,1,2,1,5,2,3,4,5,2,4,1,4,2,2,5,3,3,2,1,4,2,3,4,3,2,3,2,5,2,2,4,5,3,3,5,4,4,3,4,5,4,2,5,5,5,5,1,3,2,3,5,20,36,22,"F",4.25,2.08333333333333,2.375,3.6
"132",3,2,3,2,1,1,4,1,4,4,4,3,4,3,4,1,4,3,2,5,3,4,3,1,5,1,3,3,2,4,3,5,3,2,2,3,2,4,2,4,3,2,4,1,3,3,2,4,2,4,2,2,2,5,2,4,22,29,16,"F",3.41666666666667,2.83333333333333,3,2.9
"133",5,1,2,1,1,2,4,2,4,4,4,2,3,2,4,3,2,2,4,4,2,4,4,2,4,3,4,4,2,4,4,4,2,2,4,4,4,4,2,4,3,4,4,2,3,4,2,2,2,1,2,2,2,2,2,4,22,21,16,"F",3.08333333333333,3.41666666666667,3.375,2.1
"134",4,2,2,2,2,2,3,4,4,2,4,3,4,4,2,2,3,4,4,4,4,3,3,2,3,3,2,3,3,4,3,3,3,2,3,4,4,5,3,4,4,4,5,3,4,5,2,3,4,3,3,2,3,4,3,4,21,31,19,"M",3.5,3.33333333333333,2.75,3.1
"135",2,2,1,1,1,1,4,2,5,4,4,3,5,5,4,3,5,4,2,4,2,4,5,2,4,1,4,4,3,5,1,4,4,2,2,4,4,5,3,4,4,4,4,3,3,4,1,4,3,1,3,1,1,5,1,4,20,24,0,"F",3.91666666666667,3.5,3.125,2.4
"136",3,1,1,1,1,1,5,2,4,4,2,3,2,2,4,2,4,4,4,4,4,2,5,1,2,5,2,4,4,2,5,5,4,4,2,4,5,5,1,4,4,2,4,2,4,2,4,4,5,4,5,2,3,5,4,4,22,40,30,"M",3.66666666666667,2.58333333333333,4.5,4
"137",4,1,2,1,1,1,4,1,5,4,3,3,5,4,4,1,5,2,2,5,4,4,3,1,4,1,4,5,4,4,1,4,3,2,2,4,4,4,4,5,4,4,4,5,5,2,2,5,4,1,4,2,2,4,2,5,21,31,23,"F",4.25,2.83333333333333,2.625,3.1
"138",3,2,2,1,1,1,2,3,5,3,4,4,5,4,3,2,4,2,2,5,4,4,4,2,4,1,2,4,4,4,5,5,4,2,3,4,4,5,4,5,3,4,5,1,5,4,2,3,4,1,3,1,3,1,1,4,21,23,19,"F",4.25,3.33333333333333,2.75,2.3
"139",2,2,2,1,1,1,3,3,5,3,3,3,4,4,4,2,4,3,2,5,4,5,5,1,4,2,2,3,3,3,4,5,5,2,2,3,3,4,3,4,4,5,5,2,4,3,2,3,2,5,2,3,2,3,3,3,21,28,18,"F",3.83333333333333,3,3.25,2.8
"140",5,1,1,1,1,1,5,3,5,5,2,3,4,2,5,5,5,5,1,5,5,4,1,4,5,2,1,5,5,2,5,5,5,5,1,1,5,1,5,1,1,5,1,1,1,1,3,5,5,4,5,1,2,5,2,5,21,37,28,"F",4.41666666666667,2.58333333333333,4.125,3.7
"141",3,1,3,2,1,1,4,2,4,2,2,3,4,2,4,2,4,2,2,4,3,2,4,1,3,2,2,2,4,2,5,5,4,4,2,3,4,5,4,4,4,2,5,2,3,4,3,4,4,1,4,1,2,2,2,3,20,26,21,"F",3.5,2.41666666666667,3.375,2.6
"142",2,1,1,1,1,1,4,2,5,2,5,4,5,2,2,4,4,4,2,5,1,4,3,1,5,4,5,2,2,4,1,5,2,2,5,4,4,4,4,5,2,4,4,4,4,3,2,4,4,1,4,1,2,1,1,4,21,24,19,"F",3.58333333333333,3.58333333333333,2.75,2.4
"143",3,1,2,1,1,1,5,1,4,4,2,4,4,1,4,1,4,4,2,4,2,2,3,1,5,4,2,2,3,2,5,4,4,4,2,4,4,5,4,4,4,4,4,3,5,5,4,4,4,2,4,1,4,2,1,4,25,30,27,"F",3.66666666666667,2.08333333333333,4.125,3
"144",4,2,3,2,1,1,4,3,4,4,3,4,5,3,4,2,4,2,3,4,5,2,2,1,4,2,3,4,4,2,4,5,4,2,4,5,4,2,1,5,2,2,3,3,5,3,3,3,2,3,4,2,3,4,3,2,27,29,0,"F",4.25,2.75,3,2.9
"145",1,1,1,1,2,1,4,4,3,5,4,4,3,4,4,3,4,4,5,4,4,3,4,4,4,5,4,3,4,4,3,4,5,4,4,3,4,4,5,4,4,4,4,2,2,5,4,4,3,4,3,2,3,3,3,3,20,32,0,"F",3.75,3.91666666666667,4.125,3.2
"146",3,2,1,1,1,1,4,4,3,2,3,2,2,5,4,5,2,3,4,2,2,5,4,2,3,3,5,1,2,5,2,5,2,4,4,2,2,5,5,4,2,5,5,1,1,5,3,4,3,2,3,2,2,3,2,4,21,28,24,"M",2.08333333333333,4.33333333333333,3.25,2.8
"147",3,1,2,1,1,1,3,2,4,3,2,4,4,2,3,2,5,3,2,5,4,4,3,2,5,2,2,5,4,3,4,5,3,2,2,4,4,4,3,5,4,4,5,2,4,4,1,4,4,3,4,1,3,3,2,4,24,29,21,"F",4.25,2.66666666666667,2.875,2.9
"148",4,1,2,1,1,1,3,3,4,2,4,3,4,2,3,2,5,4,2,4,2,4,4,1,4,2,4,3,2,2,4,4,4,1,3,4,4,5,5,5,4,3,5,2,3,5,2,3,2,4,2,2,1,3,4,1,20,24,20,"F",3.58333333333333,3,2.875,2.4
"149",4,3,4,5,4,5,3,1,5,3,4,4,4,2,3,2,4,3,2,4,2,4,2,1,4,2,2,4,4,4,1,4,4,2,1,4,5,5,5,5,3,3,4,3,5,4,2,4,4,3,4,2,3,3,2,4,21,31,28,"M",4,2.66666666666667,2.375,3.1
"150",3,2,2,1,1,1,4,1,4,4,3,3,4,2,4,1,4,4,2,4,4,2,3,1,3,4,3,4,2,1,5,5,3,3,2,4,1,3,3,4,4,4,4,4,4,3,1,2,3,2,4,1,1,1,1,3,20,19,12,"F",3.33333333333333,2.16666666666667,3.875,1.9
"151",3,4,3,2,1,1,4,3,4,1,2,2,4,3,4,2,4,2,2,5,4,3,2,1,4,2,3,2,1,2,1,5,4,1,3,4,4,3,1,4,4,3,4,2,5,2,2,3,1,2,1,2,1,5,1,2,20,20,21,"F",3.5,2.66666666666667,2.125,2
"152",3,2,2,2,1,2,5,1,4,4,2,2,4,1,4,1,3,4,3,4,2,3,3,1,4,4,4,2,2,2,5,3,4,3,2,3,4,4,4,4,4,4,3,3,4,4,3,4,4,5,4,2,4,3,4,5,18,38,28,"F",3.16666666666667,2.25,4,3.8
"153",3,2,2,3,1,2,4,3,4,4,2,2,4,2,4,2,4,3,2,4,3,2,3,2,4,2,4,3,4,2,5,4,3,1,3,4,4,4,2,5,5,5,5,3,4,2,3,4,4,5,3,1,4,2,4,4,21,34,31,"F",3.58333333333333,2.66666666666667,3.25,3.4
"154",4,1,1,1,1,1,3,4,4,2,4,4,3,2,3,4,4,2,3,4,2,4,2,2,3,3,1,3,3,4,5,5,3,1,2,4,4,5,3,4,4,3,5,3,4,5,1,4,4,5,4,4,2,4,5,4,19,37,18,"F",3.41666666666667,3.33333333333333,2.625,3.7
"155",4,1,2,1,1,1,4,5,5,3,4,3,5,3,3,4,5,3,1,5,3,1,4,5,4,2,2,5,4,3,2,5,5,1,5,5,2,4,4,5,3,5,5,4,4,5,3,4,4,3,4,1,2,2,3,3,21,29,25,"F",4.25,3.5,2.75,2.9
"156",2,3,3,1,1,2,4,2,5,4,3,2,3,2,4,1,4,4,3,3,4,3,4,1,4,3,2,2,4,4,5,5,2,4,3,2,4,4,2,4,3,4,4,2,2,4,2,4,2,4,2,1,2,1,1,4,20,23,19,"F",3.25,2.75,4,2.3
"157",2,1,2,1,1,1,3,2,4,3,4,5,4,1,4,1,4,3,2,5,4,1,2,1,4,2,2,4,4,2,4,2,5,3,2,5,5,4,4,4,3,5,5,4,5,5,4,4,5,4,4,3,4,4,4,5,21,41,21,"M",4.41666666666667,2,3,4.1
"158",4,3,2,2,1,1,4,3,4,4,3,3,4,2,2,2,3,2,2,4,3,3,4,1,3,2,2,3,3,4,5,4,3,4,3,3,3,5,3,4,4,3,4,4,3,4,2,4,3,3,3,1,2,2,3,4,20,27,16,"F",3.25,2.83333333333333,3.375,2.7
"159",2,1,2,3,1,1,4,5,5,4,3,4,5,5,4,1,4,2,2,4,2,5,3,5,4,4,2,2,4,5,5,1,4,5,3,4,5,5,5,5,4,5,5,3,4,4,1,5,5,4,5,1,3,2,4,5,21,35,7,"F",3.91666666666667,3.5,3.875,3.5
"160",4,2,3,1,2,2,4,3,4,2,1,4,4,2,3,1,4,4,2,4,4,2,4,1,3,1,4,3,4,3,5,5,4,3,2,3,2,4,5,5,4,4,5,4,4,2,4,5,3,2,4,2,3,4,2,5,20,34,21,"F",3.58333333333333,2.5,3.25,3.4
"161",3,2,3,1,1,1,4,5,5,4,3,3,5,2,4,1,5,2,2,5,5,3,4,4,5,2,2,4,3,4,5,4,4,2,3,5,5,5,3,5,4,4,4,4,5,3,2,5,4,4,4,1,3,2,2,5,18,32,17,"F",4.5,3.16666666666667,3.375,3.2
"162",2,3,2,2,1,2,4,1,5,3,2,3,2,4,3,3,4,5,4,4,3,3,5,1,3,5,4,3,4,4,5,5,3,3,1,4,5,5,5,4,3,5,5,3,4,5,3,4,4,3,2,4,2,5,3,3,22,33,22,"M",3.58333333333333,3.08333333333333,4.125,3.3
"163",4,1,2,1,1,1,4,2,5,4,4,3,4,3,4,2,4,4,3,4,3,4,3,1,2,3,3,3,4,3,4,3,4,2,3,4,4,4,4,3,3,4,5,3,4,3,2,4,3,4,2,3,3,5,3,4,22,33,18,"F",3.66666666666667,2.91666666666667,3.5,3.3
"164",3,2,2,3,1,1,2,3,3,2,3,2,2,4,3,3,2,1,3,3,4,5,2,2,3,1,1,1,2,5,4,5,1,1,2,5,3,2,2,5,3,5,3,2,3,4,2,3,4,5,3,3,3,5,4,3,24,35,25,"M",2.58333333333333,3.16666666666667,2,3.5
"165",2,1,1,1,1,1,2,2,4,4,3,3,5,2,4,1,4,4,3,5,4,2,3,2,4,4,1,4,4,2,5,4,4,3,3,4,5,5,4,5,4,3,5,3,5,4,2,4,4,4,4,2,3,3,2,4,19,32,24,"F",4.16666666666667,2.5,3.625,3.2
"166",3,1,2,1,1,1,4,3,4,4,4,3,3,4,4,3,4,2,4,4,2,4,3,3,3,2,4,2,3,5,5,5,4,3,3,3,4,4,5,4,4,5,5,3,3,5,3,3,4,4,3,1,3,2,4,4,20,31,23,"F",3.25,3.83333333333333,3.375,3.1
"167",2,4,4,5,5,4,2,2,4,1,2,3,4,1,2,2,3,3,2,5,2,2,3,4,4,2,4,3,2,2,4,5,4,1,4,5,4,4,2,5,3,3,4,3,3,4,1,4,2,4,3,1,2,2,1,4,21,24,0,"F",3.58333333333333,2.83333333333333,2.25,2.4
"168",5,1,2,1,1,1,2,4,5,2,2,4,4,2,2,1,5,1,2,4,5,2,2,4,4,2,1,4,4,2,4,4,4,2,2,5,4,1,1,5,4,4,2,2,5,2,2,4,2,4,2,2,2,4,4,2,20,28,23,"F",4.33333333333333,2.25,2.125,2.8
"169",3,1,3,3,1,1,5,3,5,5,5,3,5,2,4,4,3,4,4,5,2,2,4,1,3,5,5,5,4,2,5,5,3,5,5,5,4,3,3,5,4,5,5,1,4,2,1,1,2,3,3,1,2,1,1,2,17,17,26,"F",3.91666666666667,3.41666666666667,4.625,1.7
"170",4,3,4,2,2,4,5,5,3,3,4,3,4,5,3,2,2,3,2,2,3,5,3,1,2,1,4,4,2,4,1,4,1,1,4,4,2,5,5,4,4,5,5,3,3,5,1,3,3,1,3,1,2,1,1,3,19,19,12,"M",2.66666666666667,3.75,2.5,1.9
"171",4,1,2,1,1,1,4,2,5,2,2,1,4,2,2,1,4,1,2,5,3,2,2,1,4,2,1,4,2,1,1,4,3,2,1,4,4,2,1,5,4,3,3,4,5,2,2,4,4,5,4,2,3,2,2,4,23,32,0,"F",3.58333333333333,1.75,2,3.2
"172",2,2,2,1,1,1,4,2,5,2,2,3,3,4,3,3,2,3,2,3,3,4,3,2,3,2,2,2,3,4,4,5,3,2,2,3,4,4,4,3,3,3,4,2,4,4,4,4,3,5,3,3,1,4,4,4,20,35,32,"F",3.08333333333333,3,2.875,3.5
"173",3,1,2,1,1,1,3,2,5,2,3,3,5,3,2,1,5,2,2,5,4,3,4,1,2,2,2,4,2,4,3,4,3,4,2,3,4,4,1,1,3,3,1,4,2,3,1,3,2,4,2,1,2,2,4,3,20,24,22,"F",3.75,2.58333333333333,2.75,2.4
"174",4,2,2,2,1,1,4,2,5,4,3,4,5,4,4,1,5,2,3,4,4,3,3,2,4,1,1,3,3,4,5,4,4,4,2,3,5,4,2,5,3,4,4,3,5,5,2,3,5,4,5,4,3,4,4,4,25,38,0,"F",4.08333333333333,2.75,3.375,3.8
"175",3,1,1,2,1,1,3,1,4,4,4,3,5,3,4,2,5,4,2,5,5,4,4,3,2,3,4,5,5,4,5,5,5,5,4,5,1,4,4,4,3,4,2,2,4,4,2,2,4,3,2,1,3,1,1,2,20,21,20,"F",4.16666666666667,3.33333333333333,4,2.1
"176",4,1,2,1,1,1,2,4,5,2,2,4,4,2,2,1,5,1,2,4,4,2,5,2,5,1,4,3,2,4,5,4,4,1,2,5,5,5,2,4,3,3,5,2,4,4,1,4,4,4,4,1,1,4,2,4,20,29,21,"F",4.16666666666667,2.83333333333333,2.375,2.9
"177",3,2,1,1,1,1,5,1,4,3,5,3,3,2,4,1,4,3,3,3,3,3,3,1,5,3,4,1,3,3,5,5,3,5,3,2,5,5,3,4,3,5,5,3,4,3,1,4,1,3,1,1,1,1,2,4,19,19,23,"F",3.25,3,3.875,1.9
"178",4,1,1,1,1,1,5,2,5,5,4,4,5,2,5,2,5,2,3,5,4,2,2,1,4,2,2,3,3,4,4,5,3,2,2,4,4,5,4,4,4,2,5,3,4,4,2,4,2,1,2,1,2,1,1,4,19,20,20,"F",4.08333333333333,2.83333333333333,3.375,2
"179",4,1,3,3,2,2,2,4,4,2,2,2,2,2,3,1,4,1,4,4,4,4,2,2,2,2,2,1,2,4,1,5,2,1,3,4,4,5,2,4,2,4,5,3,4,5,4,4,4,5,4,4,4,5,4,4,22,42,28,"F",2.91666666666667,3.16666666666667,1.75,4.2
"180",4,3,2,2,2,1,3,5,4,2,3,3,4,1,4,2,4,4,2,4,3,4,2,2,5,2,3,4,4,3,5,2,3,2,2,4,4,4,2,4,4,3,3,3,4,4,2,4,5,5,5,1,5,5,5,4,35,41,31,"M",3.83333333333333,2.75,3,4.1
"181",3,1,2,2,1,2,4,2,5,4,2,2,4,2,2,4,4,1,2,4,4,4,4,5,4,1,4,2,2,4,4,5,2,1,2,1,4,5,2,4,5,4,5,4,5,5,2,5,5,4,4,2,4,2,4,5,18,37,18,"F",3.16666666666667,3.41666666666667,2.625,3.7
"182",3,2,2,1,1,1,4,2,5,4,4,4,4,2,3,2,4,2,2,4,2,3,3,2,4,1,4,3,2,4,2,3,3,2,3,2,4,5,5,5,4,5,5,2,3,4,4,4,4,4,4,2,3,4,4,3,19,36,30,"F",3.41666666666667,3,2.625,3.6
"183",4,1,2,1,1,1,5,2,5,4,2,4,5,4,4,3,5,4,2,4,5,3,3,1,2,3,2,3,4,3,2,5,2,2,1,5,5,4,3,5,4,4,5,3,4,4,2,3,1,3,1,1,1,1,2,3,21,18,19,"M",4.08333333333333,2.66666666666667,3.375,1.8
