"","Aa","Ab","Ac","Ad","Ae","Af","ST01","SU02","D03","ST04","SU05","D06","D07","SU08","ST09","SU10","D11","ST12","SU13","D14","D15","SU16","ST17","SU18","D19","ST20","SU21","D22","D23","SU24","ST25","SU26","D27","ST28","SU29","D30","D31","SU32","Ca","Cb","Cc","Cd","Ce","Cf","Cg","Ch","Da","Db","Dc","Dd","De","Df","Dg","Dh","Di","Dj","Age","Attitude","Points","gender","deep","surf","stra","attitude"
"62",3,1,1,1,1,1,4,2,5,3,1,5,5,1,3,1,3,3,2,4,4,2,3,1,3,3,1,5,3,2,4,3,5,3,1,5,5,4,1,4,3,3,4,2,3,2,4,3,4,5,4,3,4,4,5,4,21,40,33,"M",4.33333333333333,1.75,3.25,4
"63",3,3,2,2,1,1,4,2,5,3,2,4,4,3,4,1,4,4,1,5,4,3,3,2,4,4,2,5,4,3,4,2,3,3,2,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,40,33,"F",4.25,2.25,3.625,4
"64",3,1,1,1,1,1,4,1,5,2,2,2,4,4,5,1,4,4,1,5,2,2,4,1,2,3,2,3,4,2,5,4,3,2,1,5,2,4,2,4,4,2,4,2,5,2,5,5,5,4,5,4,5,5,4,5,21,47,25,"F",3.41666666666667,2.08333333333333,3.625,4.7
"65",2,1,1,1,1,2,4,4,5,2,2,2,2,2,2,2,4,2,2,2,2,4,4,2,4,1,1,4,2,4,4,5,4,1,2,2,4,4,2,5,5,4,5,2,5,5,2,3,2,4,2,1,2,2,2,3,26,23,18,"F",3.08333333333333,2.83333333333333,2.5,2.3
"66",1,2,1,1,1,1,4,2,5,2,4,5,5,2,2,1,5,1,4,4,4,3,2,1,4,2,2,4,5,2,1,4,4,1,4,5,5,5,2,5,3,2,5,5,5,2,2,5,5,2,4,1,4,2,1,5,25,31,22,"F",4.58333333333333,2.83333333333333,1.875,3.1
"67",4,2,2,1,2,1,2,2,4,1,2,3,4,2,1,1,2,2,2,4,4,2,2,2,4,2,4,4,1,2,4,4,2,2,2,5,4,4,2,4,4,2,4,4,4,4,2,4,4,2,2,1,2,4,2,4,26,27,17,"F",3.41666666666667,2.41666666666667,2,2.7
"68",4,1,2,2,2,2,3,1,4,2,2,2,4,4,3,2,4,1,2,3,3,2,2,1,4,1,1,4,3,2,2,5,3,1,1,3,4,4,3,4,3,3,4,3,5,4,3,4,4,5,4,5,3,5,4,4,21,41,25,"M",3.41666666666667,2.25,1.875,4.1
"69",5,5,5,5,5,5,5,1,4,4,2,4,4,2,2,2,4,2,2,4,4,4,4,2,4,1,1,4,2,4,2,5,2,1,1,2,4,2,4,5,5,5,5,4,4,5,2,5,5,2,5,1,5,2,2,5,22,34,0,"F",3.5,2.33333333333333,2.625,3.4
"70",3,2,2,1,1,1,4,2,5,4,4,4,2,2,4,1,4,5,4,4,3,2,4,1,4,3,4,3,2,4,4,3,2,4,3,4,4,4,1,5,4,1,4,4,4,4,2,4,5,3,5,1,4,3,3,4,23,34,28,"F",3.41666666666667,2.83333333333333,4,3.4
"71",3,2,1,1,1,2,4,1,4,2,2,4,4,2,3,1,3,4,2,4,3,2,2,1,5,2,3,3,2,2,4,4,4,2,3,3,4,4,3,5,4,3,5,2,4,2,3,4,2,1,3,1,2,3,2,4,22,25,22,"F",3.58333333333333,2.25,2.875,2.5
"72",1,2,2,1,1,1,1,1,1,4,2,1,2,2,5,3,2,5,1,2,2,3,3,1,1,4,4,2,2,2,5,1,1,4,1,2,1,1,1,1,3,2,2,4,3,1,2,1,1,1,1,5,2,5,2,1,22,21,26,"F",1.58333333333333,1.83333333333333,3.875,2.1
"73",2,1,1,1,1,1,2,4,5,2,2,3,4,4,2,2,4,4,3,4,2,3,4,1,3,1,2,3,2,4,4,4,2,1,2,4,4,4,3,1,2,3,1,3,1,3,1,1,3,1,2,1,1,1,1,2,22,14,11,"F",3.33333333333333,2.91666666666667,2.5,1.4
"74",1,2,3,2,1,1,4,4,5,2,2,4,5,2,2,3,5,2,2,5,4,2,3,3,5,2,4,4,4,2,5,5,3,2,3,4,4,3,2,4,5,2,2,1,5,4,2,4,3,2,1,1,2,1,1,2,23,19,29,"F",4.33333333333333,2.91666666666667,2.75,1.9
"75",2,1,2,1,1,2,5,1,4,4,4,4,5,2,4,2,4,5,1,5,4,2,4,1,4,4,2,4,5,2,5,2,4,5,2,5,5,4,2,5,4,2,4,4,5,4,4,4,4,1,4,3,3,5,4,5,22,37,22,"M",4.41666666666667,2.08333333333333,4.5,3.7
"76",2,5,5,5,5,5,4,2,5,3,2,3,5,1,4,2,5,4,3,5,5,2,5,2,4,4,3,4,4,2,2,5,5,2,3,5,5,5,3,5,4,5,5,3,4,4,4,5,5,2,5,2,4,5,4,5,25,41,0,"M",4.58333333333333,2.66666666666667,3.5,4.1
"77",3,1,1,1,1,1,4,1,5,4,3,5,5,1,4,1,5,3,1,5,5,2,3,1,5,4,4,5,4,4,4,4,4,1,1,5,5,5,1,5,3,1,4,3,5,3,1,4,3,5,3,4,2,4,2,4,23,32,21,"M",4.83333333333333,2.33333333333333,3.375,3.2
"78",4,1,2,1,1,1,4,2,4,2,1,3,2,4,2,1,5,3,3,2,3,2,3,2,3,4,2,3,4,2,1,4,3,2,3,1,4,3,2,5,5,3,4,2,4,3,4,3,4,2,3,2,3,2,2,3,24,28,28,"M",3.08333333333333,2.41666666666667,2.625,2.8
"79",5,2,3,1,1,1,2,5,4,4,3,2,2,1,5,3,4,5,2,3,3,1,4,4,4,5,2,2,2,1,5,5,4,3,2,2,4,4,1,5,4,4,4,3,3,3,4,4,5,5,3,4,4,4,3,5,22,41,33,"F",3,2.75,4.125,4.1
"80",2,1,1,1,1,1,4,4,4,3,4,5,4,2,2,1,4,4,3,5,4,4,4,2,4,1,3,4,3,4,1,5,4,2,2,3,5,5,5,5,3,3,5,2,4,5,2,5,4,1,4,1,1,1,1,5,23,25,16,"F",4.08333333333333,3.25,2.625,2.5
"81",5,2,1,1,1,1,4,1,5,2,1,3,5,1,2,1,5,2,1,5,2,3,2,1,2,4,1,4,5,3,1,5,4,1,1,5,4,2,1,5,4,3,3,4,5,4,3,4,3,3,1,1,3,5,2,3,22,28,31,"M",4.08333333333333,1.75,2.25,2.8
"82",2,5,4,4,5,4,4,1,4,4,2,4,4,2,2,2,4,4,4,3,4,4,3,1,4,2,1,3,3,2,1,5,4,2,2,4,4,5,4,4,2,5,5,3,5,4,3,4,3,4,3,4,3,5,4,5,20,38,22,"M",3.75,2.58333333333333,2.75,3.8
