Aa      	Ab      	Ac      	Ad      	Ae      	Af      	ST01    	SU02    	D03     	ST04    	SU05    	D06     	D07     	SU08    	ST09    	SU10    	D11     	ST12    	SU13    	D14     	D15     	SU16    	ST17    	SU18    	D19     	ST20    	SU21    	D22     	D23     	SU24    	ST25    	SU26    	D27     	ST28    	SU29    	D30     	D31     	SU32    	Ca      	Cb      	Cc      	Cd      	Ce      	Cf      	Cg      	Ch      	Da      	Db      	Dc      	Dd      	De      	Df      	Dg      	Dh      	Di      	Dj      	Age     	Attitude	Points  	gender
   2	  5	  5	  5	  5	  5	  4	  2	  5	  3	  2	  3	  5	  1	  4	  2	  5	  4	  3	  5	  5	  2	  5	  2	  4	  4	  3	  4	  4	  2	  2	  5	  5	  2	  3	  5	  5	  5	  3	  5	  4	  5	  5	  3	  4	  4	  4	  5	  5	  2	  5	  2	  4	  5	  4	  5	 25	 41	  0	M
   3	  1	  1	  1	  1	  1	  4	  1	  5	  4	  3	  5	  5	  1	  4	  1	  5	  3	  1	  5	  5	  2	  3	  1	  5	  4	  4	  5	  4	  4	  4	  4	  4	  1	  1	  5	  5	  5	  1	  5	  3	  1	  4	  3	  5	  3	  1	  4	  3	  5	  3	  4	  2	  4	  2	  4	 23	 32	 21	M
   4	  1	  2	  1	  1	  1	  4	  2	  4	  2	  1	  3	  2	  4	  2	  1	  5	  3	  3	  2	  3	  2	  3	  2	  3	  4	  2	  3	  4	  2	  1	  4	  3	  2	  3	  1	  4	  3	  2	  5	  5	  3	  4	  2	  4	  3	  4	  3	  4	  2	  3	  2	  3	  2	  2	  3	 24	 28	 28	M
   5	  2	  3	  1	  1	  1	  2	  5	  4	  4	  3	  2	  2	  1	  5	  3	  4	  5	  2	  3	  3	  1	  4	  4	  4	  5	  2	  2	  2	  1	  5	  5	  4	  3	  2	  2	  4	  4	  1	  5	  4	  4	  4	  3	  3	  3	  4	  4	  5	  5	  3	  4	  4	  4	  3	  5	 22	 41	 33	F
   2	  1	  1	  1	  1	  1	  4	  4	  4	  3	  4	  5	  4	  2	  2	  1	  4	  4	  3	  5	  4	  4	  4	  2	  4	  1	  3	  4	  3	  4	  1	  5	  4	  2	  2	  3	  5	  5	  5	  5	  3	  3	  5	  2	  4	  5	  2	  5	  4	  1	  4	  1	  1	  1	  1	  5	 23	 25	 16	F
   5	  2	  1	  1	  1	  1	  4	  1	  5	  2	  1	  3	  5	  1	  2	  1	  5	  2	  1	  5	  2	  3	  2	  1	  2	  4	  1	  4	  5	  3	  1	  5	  4	  1	  1	  5	  4	  2	  1	  5	  4	  3	  3	  4	  5	  4	  3	  4	  3	  3	  1	  1	  3	  5	  2	  3	 22	 28	 31	M
   2	  5	  4	  4	  5	  4	  4	  1	  4	  4	  2	  4	  4	  2	  2	  2	  4	  4	  4	  3	  4	  4	  3	  1	  4	  2	  1	  3	  3	  2	  1	  5	  4	  2	  2	  4	  4	  5	  4	  4	  2	  5	  5	  3	  5	  4	  3	  4	  3	  4	  3	  4	  3	  5	  4	  5	 20	 38	 22	M
   3	  3	  3	  2	  1	  3	  4	  5	  4	  2	  3	  3	  3	  2	  4	  4	  4	  3	  3	  3	  2	  2	  2	  4	  4	  4	  2	  2	  2	  5	  4	  4	  4	  1	  2	  3	  3	  4	  3	  4	  4	  4	  4	  2	  3	  5	  3	  4	  3	  4	  3	  2	  2	  3	  4	  3	 22	 31	 31	M
   4	  1	  1	  1	  1	  1	  3	  3	  5	  1	  3	  5	  5	  4	  2	  3	  5	  1	  3	  5	  4	  1	  3	  1	  5	  1	  2	  5	  5	  2	  1	  3	  3	  1	  4	  5	  5	  5	  4	  5	  4	  1	  2	  5	  5	  4	  3	  3	  5	  4	  5	  1	  3	  3	  3	  5	 21	 35	 23	M
   5	  1	  2	  2	  1	  1	  3	  2	  5	  3	  2	  4	  5	  4	  2	  1	  5	  2	  2	  4	  5	  3	  2	  4	  4	  1	  2	  4	  3	  2	  1	  4	  4	  1	  2	  4	  4	  2	  1	  5	  4	  4	  2	  5	  5	  3	  3	  4	  5	  3	  4	  3	  4	  2	  3	  5	 22	 36	 26	F
   3	  1	  1	  2	  1	  1	  5	  2	  5	  3	  3	  5	  5	  2	  4	  1	  4	  3	  3	  4	  3	  2	  3	  1	  5	  3	  3	  3	  3	  2	  3	  4	  3	  3	  2	  5	  5	  4	  4	  5	  3	  3	  4	  2	  5	  3	  2	  3	  3	  3	  2	  2	  2	  4	  3	  2	 23	 26	 12	F
   3	  1	  3	  1	  1	  1	  5	  3	  5	  5	  2	  3	  5	  3	  5	  3	  4	  3	  1	  5	  3	  3	  5	  1	  5	  2	  2	  5	  4	  2	  2	  3	  4	  3	  2	  5	  5	  4	  2	  5	  4	  3	  3	  3	  5	  5	  3	  5	  5	  5	  5	  3	  4	  4	  5	  5	 21	 44	 26	M
   4	  2	  2	  1	  1	  2	  2	  4	  4	  2	  2	  5	  4	  1	  2	  2	  4	  2	  2	  2	  4	  1	  2	  4	  4	  2	  1	  4	  4	  4	  4	  5	  4	  1	  1	  2	  5	  4	  2	  5	  2	  2	  1	  4	  4	  4	  4	  4	  5	  5	  5	  4	  5	  4	  5	  4	 22	 45	 31	M
   3	  2	  2	  1	  1	  1	  4	  2	  5	  2	  3	  2	  4	  2	  3	  4	  4	  2	  2	  4	  3	  2	  4	  4	  4	  1	  2	  2	  2	  4	  1	  5	  4	  2	  1	  2	  4	  5	  4	  4	  4	  5	  4	  3	  3	  2	  2	  4	  2	  4	  2	  3	  2	  5	  4	  4	 29	 32	 19	M
   2	  1	  2	  1	  1	  1	  3	  2	  4	  2	  3	  3	  3	  2	  2	  2	  3	  1	  1	  4	  4	  3	  3	  1	  4	  1	  1	  3	  3	  3	  1	  5	  3	  1	  1	  3	  4	  4	  4	  5	  3	  5	  4	  3	  5	  5	  1	  4	  3	  1	  3	  1	  1	  1	  1	  4	 26	 20	  0	F
   3	  2	  2	  1	  1	  2	  3	  2	  4	  3	  3	  2	  3	  2	  4	  1	  4	  2	  2	  4	  2	  1	  4	  2	  4	  2	  2	  2	  2	  2	  1	  1	  4	  3	  2	  4	  3	  4	  2	  5	  3	  4	  5	  3	  4	  4	  4	  4	  5	  5	  5	  2	  4	  2	  3	  5	 29	 39	 30	F
   2	  2	  1	  1	  1	  1	  5	  1	  4	  2	  4	  2	  4	  2	  4	  4	  4	  2	  4	  4	  2	  2	  3	  1	  4	  4	  5	  2	  4	  4	  4	  5	  2	  1	  4	  4	  2	  5	  5	  2	  4	  4	  5	  2	  2	  5	  2	  4	  4	  2	  4	  1	  2	  1	  1	  4	 21	 25	 12	F
   5	  3	  5	  5	  5	  5	  4	  2	  5	  4	  5	  4	  4	  2	  3	  2	  4	  5	  2	  4	  4	  3	  2	  1	  3	  4	  3	  3	  4	  3	  4	  5	  2	  2	  2	  4	  5	  4	  4	  4	  3	  3	  4	  2	  4	  3	  3	  4	  4	  2	  4	  2	  3	  5	  2	  4	 28	 33	 17	M
   2	  1	  2	  3	  2	  1	  2	  4	  5	  4	  4	  3	  5	  2	  1	  5	  5	  1	  2	  4	  5	  2	  2	  2	  4	  1	  4	  4	  5	  4	  1	  5	  4	  1	  3	  2	  4	  4	  3	  5	  4	  4	  2	  3	  4	  3	  2	  5	  5	  3	  4	  1	  5	  2	  3	  5	 23	 35	  0	M
   2	  4	  3	  5	  5	  5	  4	  1	  5	  3	  2	  5	  4	  2	  5	  2	  5	  2	  1	  5	  4	  2	  3	  1	  4	  1	  3	  3	  3	  3	  1	  5	  4	  2	  1	  4	  5	  4	  2	  5	  4	  4	  5	  4	  4	  5	  2	  4	  5	  3	  4	  1	  3	  5	  1	  5	 21	 33	 18	F
   3	  2	  2	  1	  1	  1	  4	  2	  5	  4	  4	  4	  4	  2	  2	  2	  4	  4	  3	  5	  4	  4	  4	  1	  4	  2	  2	  3	  2	  2	  4	  4	  3	  3	  2	  4	  4	  5	  3	  5	  4	  4	  5	  2	  4	  5	  2	  4	  4	  3	  2	  1	  4	  2	  4	  4	 30	 30	 19	F
   2	  2	  1	  1	  1	  1	  4	  4	  5	  2	  3	  2	  4	  3	  1	  4	  5	  2	  4	  4	  2	  4	  3	  2	  5	  1	  5	  4	  2	  4	  4	  5	  4	  1	  4	  2	  5	  5	  3	  5	  5	  4	  5	  4	  5	  3	  1	  5	  4	  4	  4	  1	  3	  1	  2	  4	 21	 29	 21	F
   3	  1	  2	  1	  1	  1	  4	  3	  5	  3	  3	  4	  4	  2	  2	  1	  4	  3	  2	  4	  4	  2	  3	  2	  2	  4	  3	  2	  4	  2	  3	  4	  4	  2	  2	  5	  4	  2	  2	  4	  4	  3	  4	  4	  4	  3	  3	  3	  4	  4	  3	  1	  4	  3	  4	  4	 23	 33	 24	M
   3	  5	  5	  5	  5	  5	  4	  1	  4	  3	  4	  2	  4	  1	  4	  2	  4	  4	  1	  4	  4	  3	  4	  1	  4	  4	  4	  3	  4	  4	  5	  4	  4	  4	  3	  4	  5	  5	  4	  4	  3	  4	  4	  2	  4	  4	  3	  4	  4	  4	  4	  1	  3	  2	  4	  4	 21	 33	 28	F
   3	  4	  4	  4	  5	  4	  4	  3	  4	  2	  4	  4	  5	  1	  4	  2	  4	  4	  4	  5	  2	  2	  4	  1	  2	  4	  3	  4	  4	  2	  4	  4	  4	  2	  2	  4	  4	  5	  4	  4	  4	  2	  4	  2	  2	  4	  3	  4	  3	  4	  4	  2	  3	  4	  3	  5	 21	 35	 17	F
   3	  1	  1	  1	  1	  1	  2	  2	  4	  2	  3	  4	  3	  3	  2	  2	  3	  4	  4	  3	  3	  2	  3	  3	  3	  2	  2	  3	  4	  2	  4	  4	  4	  2	  3	  5	  5	  5	  2	  4	  3	  3	  4	  3	  3	  4	  3	  5	  5	  3	  4	  2	  4	  3	  2	  5	 20	 36	 18	F
   3	  2	  2	  1	  1	  1	  4	  4	  5	  4	  3	  3	  4	  2	  4	  1	  5	  2	  3	  4	  4	  2	  4	  1	  5	  2	  1	  2	  4	  5	  2	  4	  5	  1	  2	  4	  5	  4	  1	  5	  4	  4	  5	  1	  5	  3	  2	  5	  5	  4	  5	  4	  4	  5	  4	  4	 21	 42	  0	M
   1	  1	  2	  1	  1	  1	  4	  2	  5	  2	  2	  4	  4	  2	  2	  1	  4	  2	  2	  4	  4	  1	  2	  1	  4	  2	  2	  5	  4	  2	  4	  4	  4	  2	  2	  5	  5	  4	  2	  4	  4	  3	  5	  2	  5	  4	  2	  4	  4	  5	  4	  2	  3	  5	  4	  4	 22	 37	 17	M
   2	  5	  5	  5	  5	  5	  4	  4	  4	  3	  4	  5	  5	  4	  3	  2	  5	  4	  3	  5	  4	  4	  5	  1	  4	  2	  4	  4	  2	  3	  3	  4	  5	  2	  5	  5	  5	  5	  5	  5	  5	  5	  5	  4	  5	  5	  3	  5	  4	  1	  4	  1	  3	  1	  2	  4	 35	 28	  0	F
   4	  4	  4	  5	  3	  4	  4	  4	  4	  4	  4	  4	  4	  4	  3	  3	  3	  3	  3	  3	  3	  3	  3	  3	  4	  4	  4	  4	  2	  4	  5	  3	  4	  4	  5	  5	  5	  4	  3	  4	  3	  4	  4	  3	  4	  4	  5	  5	  5	  5	  5	  1	  5	  1	  5	  5	 21	 42	 23	M
   4	  3	  2	  2	  1	  2	  4	  4	  3	  2	  4	  1	  2	  4	  2	  3	  4	  1	  3	  4	  2	  3	  2	  4	  2	  1	  2	  3	  2	  4	  3	  4	  2	  1	  2	  4	  3	  4	  3	  5	  3	  4	  4	  4	  4	  3	  1	  3	  2	  4	  1	  1	  2	  4	  2	  2	 22	 22	  0	M
   3	  1	  1	  1	  1	  1	  4	  4	  5	  3	  2	  3	  4	  1	  4	  2	  5	  4	  1	  5	  3	  2	  3	  4	  4	  4	  3	  4	  4	  4	  5	  4	  4	  2	  2	  4	  5	  5	  3	  5	  5	  4	  5	  3	  5	  3	  3	  4	  3	  4	  3	  2	  3	  2	  4	  4	 21	 32	 26	M
   2	  1	  1	  1	  1	  1	  5	  5	  5	  4	  4	  4	  4	  1	  5	  4	  5	  5	  3	  4	  3	  3	  5	  3	  5	  4	  2	  3	  4	  4	  1	  5	  5	  4	  2	  3	  3	  5	  1	  1	  1	  1	  1	  4	  1	  1	  5	  5	  5	  5	  5	  5	  5	  5	  5	  5	 20	 50	 28	F
   3	  1	  2	  1	  1	  1	  4	  1	  5	  4	  2	  5	  5	  1	  5	  1	  4	  4	  1	  4	  4	  2	  4	  1	  4	  5	  1	  3	  4	  2	  5	  2	  4	  4	  1	  2	  4	  4	  2	  5	  4	  4	  4	  3	  4	  2	  4	  5	  5	  5	  5	  4	  4	  5	  5	  5	 22	 47	 31	M
   3	  2	  3	  1	  1	  1	  3	  5	  5	  4	  5	  4	  5	  2	  2	  2	  5	  3	  3	  4	  4	  2	  3	  4	  5	  2	  2	  3	  5	  2	  2	  3	  5	  2	  2	  5	  5	  3	  1	  5	  4	  5	  4	  3	  4	  3	  4	  4	  4	  5	  4	  2	  3	  2	  4	  4	 20	 36	 27	F
   3	  1	  2	  1	  1	  1	  4	  2	  4	  4	  3	  2	  4	  2	  5	  2	  4	  3	  3	  4	  2	  4	  4	  2	  4	  3	  2	  2	  4	  4	  5	  5	  5	  4	  2	  4	  5	  5	  3	  5	  5	  5	  3	  3	  4	  4	  4	  5	  5	  5	  5	  1	  3	  1	  2	  5	 20	 36	 25	F
   4	  3	  4	  3	  4	  3	  4	  5	  4	  3	  2	  3	  4	  2	  3	  1	  3	  1	  5	  5	  2	  2	  2	  3	  4	  3	  1	  4	  2	  2	  4	  5	  3	  2	  4	  5	  5	  3	  4	  4	  3	  4	  4	  2	  3	  5	  2	  5	  4	  3	  2	  2	  3	  2	  3	  3	 24	 29	 23	M
   1	  1	  1	  1	  1	  1	  4	  2	  5	  5	  1	  3	  5	  2	  4	  4	  4	  2	  3	  5	  4	  2	  3	  2	  4	  1	  3	  2	  3	  2	  2	  5	  4	  1	  2	  4	  3	  4	  2	  5	  5	  4	  5	  2	  4	  4	  2	  5	  4	  5	  4	  2	  3	  2	  4	  4	 20	 35	 21	F
   4	  3	  2	  2	  1	  2	  2	  3	  4	  2	  2	  3	  2	  4	  1	  2	  3	  1	  4	  3	  4	  4	  2	  4	  2	  1	  1	  2	  2	  3	  1	  4	  2	  1	  1	  2	  2	  4	  2	  4	  3	  3	  3	  3	  4	  4	  4	  4	  5	  4	  4	  4	  5	  4	  3	  3	 19	 40	 27	F
   3	  2	  2	  1	  1	  1	  4	  3	  4	  2	  4	  3	  4	  3	  2	  2	  4	  2	  2	  3	  2	  2	  3	  2	  4	  2	  2	  4	  3	  4	  1	  3	  4	  2	  2	  3	  4	  4	  3	  5	  4	  3	  3	  4	  4	  3	  2	  4	  4	  5	  3	  2	  3	  3	  4	  5	 21	 35	 28	F
   2	  1	  1	  2	  1	  1	  3	  3	  3	  4	  4	  2	  2	  2	  4	  3	  4	  4	  2	  4	  2	  3	  4	  4	  4	  2	  2	  2	  4	  3	  4	  5	  4	  4	  1	  3	  3	  5	  5	  5	  5	  5	  5	  3	  3	  4	  3	  3	  2	  5	  3	  2	  1	  5	  5	  3	 21	 32	 23	F
   2	  1	  2	  1	  1	  1	  5	  1	  5	  4	  4	  4	  5	  2	  3	  1	  5	  3	  2	  4	  4	  3	  3	  1	  2	  4	  2	  4	  4	  2	  5	  5	  4	  3	  2	  5	  5	  5	  2	  5	  3	  3	  4	  4	  4	  5	  2	  4	  4	  3	  2	  1	  1	  2	  3	  4	 22	 26	 21	F
   4	  2	  2	  1	  2	  2	  4	  1	  5	  4	  4	  2	  2	  2	  4	  2	  5	  4	  1	  2	  2	  2	  4	  1	  4	  2	  2	  1	  4	  2	  5	  5	  5	  5	  1	  2	  4	  5	  2	  5	  4	  5	  5	  2	  4	  4	  2	  4	  1	  4	  1	  1	  1	  1	  1	  4	 25	 20	 25	F
   2	  1	  2	  2	  1	  2	  4	  2	  4	  4	  5	  3	  4	  2	  2	  1	  4	  4	  2	  4	  2	  4	  3	  1	  2	  2	  4	  3	  2	  4	  4	  5	  2	  2	  3	  3	  4	  3	  2	  4	  3	  2	  5	  4	  5	  3	  2	  4	  3	  2	  3	  1	  3	  2	  2	  5	 21	 27	 11	F
   2	  1	  1	  2	  2	  1	  4	  4	  4	  4	  2	  4	  4	  3	  2	  2	  4	  4	  2	  5	  4	  3	  2	  2	  5	  2	  4	  4	  4	  2	  4	  4	  4	  4	  3	  4	  4	  5	  4	  5	  4	  3	  4	  2	  4	  4	  3	  4	  4	  4	  4	  2	  3	  2	  2	  4	 22	 32	 19	F
   1	  2	  2	  2	  2	  2	  2	  4	  3	  2	  5	  2	  1	  2	  4	  4	  3	  1	  4	  2	  2	  4	  4	  4	  4	  1	  4	  2	  2	  4	  2	  5	  2	  1	  3	  2	  2	  5	  5	  3	  4	  5	  5	  2	  2	  5	  3	  4	  5	  3	  5	  1	  4	  1	  2	  5	 25	 33	 24	F
   4	  1	  3	  2	  1	  1	  4	  4	  5	  3	  2	  3	  4	  2	  3	  2	  3	  2	  3	  4	  3	  2	  3	  4	  3	  2	  4	  2	  2	  4	  4	  4	  4	  2	  3	  3	  4	  5	  4	  4	  3	  2	  5	  3	  3	  3	  4	  4	  4	  4	  4	  3	  4	  4	  4	  4	 20	 39	 28	F
   3	  2	  2	  2	  1	  1	  2	  5	  2	  1	  4	  3	  3	  3	  1	  4	  4	  2	  4	  3	  4	  3	  2	  3	  3	  2	  2	  2	  2	  3	  1	  5	  3	  1	  3	  4	  4	  3	  3	  2	  2	  2	  3	  3	  2	  1	  3	  3	  4	  3	  4	  2	  4	  3	  2	  5	 24	 33	 21	M
   2	  2	  1	  1	  1	  1	  3	  4	  3	  3	  4	  3	  3	  4	  4	  3	  3	  2	  3	  3	  2	  4	  3	  2	  3	  1	  3	  2	  2	  4	  2	  4	  3	  2	  3	  3	  3	  4	  4	  4	  3	  4	  5	  2	  3	  4	  3	  3	  4	  4	  4	  2	  3	  2	  2	  3	 20	 30	 24	F
   2	  2	  3	  1	  1	  2	  4	  1	  4	  3	  4	  4	  4	  4	  4	  2	  2	  4	  5	  3	  2	  4	  3	  4	  4	  2	  3	  3	  4	  5	  4	  5	  2	  2	  4	  4	  3	  5	  3	  3	  4	  5	  3	  2	  4	  4	  4	  4	  4	  4	  4	  2	  4	  5	  3	  3	 21	 37	 24	M
   3	  1	  3	  1	  1	  1	  5	  3	  5	  4	  4	  4	  3	  3	  4	  2	  4	  3	  2	  4	  3	  2	  3	  3	  4	  4	  3	  4	  2	  3	  2	  5	  3	  1	  2	  4	  5	  5	  5	  5	  4	  4	  4	  2	  4	  4	  1	  2	  1	  2	  2	  1	  1	  1	  1	  2	 26	 14	  0	F
   4	  1	  1	  1	  1	  1	  4	  3	  5	  3	  2	  5	  5	  4	  2	  2	  5	  4	  2	  5	  4	  2	  3	  1	  4	  2	  2	  5	  4	  4	  1	  2	  5	  1	  1	  5	  5	  5	  4	  5	  5	  3	  4	  4	  5	  4	  3	  4	  4	  3	  4	  1	  3	  1	  3	  4	 28	 30	  0	M
   3	  2	  2	  1	  1	  1	  4	  2	  4	  3	  3	  5	  4	  3	  4	  1	  4	  4	  3	  4	  3	  3	  5	  1	  5	  4	  3	  4	  3	  4	  2	  4	  4	  3	  3	  3	  5	  5	  4	  5	  4	  4	  5	  3	  3	  3	  3	  4	  3	  1	  3	  1	  3	  2	  1	  4	 20	 25	 20	F
   2	  2	  1	  1	  1	  2	  4	  2	  4	  4	  2	  3	  4	  2	  4	  1	  3	  3	  1	  4	  2	  3	  3	  1	  4	  5	  1	  4	  4	  2	  4	  5	  4	  4	  1	  3	  4	  5	  2	  4	  4	  3	  4	  1	  3	  4	  2	  3	  3	  4	  4	  1	  3	  2	  4	  3	 20	 29	 19	F
   4	  1	  1	  1	  1	  1	  4	  1	  4	  3	  2	  4	  5	  1	  4	  1	  4	  5	  2	  5	  3	  1	  3	  1	  4	  4	  2	  5	  3	  1	  4	  2	  4	  4	  2	  4	  4	  4	  3	  5	  4	  4	  5	  5	  5	  4	  3	  5	  4	  3	  4	  3	  3	  5	  4	  5	 31	 39	 30	M
   4	  1	  1	  1	  1	  1	  2	  1	  5	  2	  3	  4	  5	  2	  4	  1	  4	  2	  2	  5	  3	  3	  2	  1	  4	  2	  3	  4	  3	  2	  3	  2	  5	  2	  2	  4	  5	  3	  3	  5	  4	  4	  3	  4	  5	  4	  2	  5	  5	  5	  5	  1	  3	  2	  3	  5	 20	 36	 22	F
   3	  2	  3	  2	  1	  1	  4	  1	  4	  4	  4	  3	  4	  3	  4	  1	  4	  3	  2	  5	  3	  4	  3	  1	  5	  1	  3	  3	  2	  4	  3	  5	  3	  2	  2	  3	  2	  4	  2	  4	  3	  2	  4	  1	  3	  3	  2	  4	  2	  4	  2	  2	  2	  5	  2	  4	 22	 29	 16	F
   5	  1	  2	  1	  1	  2	  4	  2	  4	  4	  4	  2	  3	  2	  4	  3	  2	  2	  4	  4	  2	  4	  4	  2	  4	  3	  4	  4	  2	  4	  4	  4	  2	  2	  4	  4	  4	  4	  2	  4	  3	  4	  4	  2	  3	  4	  2	  2	  2	  1	  2	  2	  2	  2	  2	  4	 22	 21	 16	F
   4	  2	  2	  2	  2	  2	  3	  4	  4	  2	  4	  3	  4	  4	  2	  2	  3	  4	  4	  4	  4	  3	  3	  2	  3	  3	  2	  3	  3	  4	  3	  3	  3	  2	  3	  4	  4	  5	  3	  4	  4	  4	  5	  3	  4	  5	  2	  3	  4	  3	  3	  2	  3	  4	  3	  4	 21	 31	 19	M
   2	  2	  1	  1	  1	  1	  4	  2	  5	  4	  4	  3	  5	  5	  4	  3	  5	  4	  2	  4	  2	  4	  5	  2	  4	  1	  4	  4	  3	  5	  1	  4	  4	  2	  2	  4	  4	  5	  3	  4	  4	  4	  4	  3	  3	  4	  1	  4	  3	  1	  3	  1	  1	  5	  1	  4	 20	 24	  0	F
   3	  1	  1	  1	  1	  1	  5	  2	  4	  4	  2	  3	  2	  2	  4	  2	  4	  4	  4	  4	  4	  2	  5	  1	  2	  5	  2	  4	  4	  2	  5	  5	  4	  4	  2	  4	  5	  5	  1	  4	  4	  2	  4	  2	  4	  2	  4	  4	  5	  4	  5	  2	  3	  5	  4	  4	 22	 40	 30	M
   4	  1	  2	  1	  1	  1	  4	  1	  5	  4	  3	  3	  5	  4	  4	  1	  5	  2	  2	  5	  4	  4	  3	  1	  4	  1	  4	  5	  4	  4	  1	  4	  3	  2	  2	  4	  4	  4	  4	  5	  4	  4	  4	  5	  5	  2	  2	  5	  4	  1	  4	  2	  2	  4	  2	  5	 21	 31	 23	F
   3	  2	  2	  1	  1	  1	  2	  3	  5	  3	  4	  4	  5	  4	  3	  2	  4	  2	  2	  5	  4	  4	  4	  2	  4	  1	  2	  4	  4	  4	  5	  5	  4	  2	  3	  4	  4	  5	  4	  5	  3	  4	  5	  1	  5	  4	  2	  3	  4	  1	  3	  1	  3	  1	  1	  4	 21	 23	 19	F
   2	  2	  2	  1	  1	  1	  3	  3	  5	  3	  3	  3	  4	  4	  4	  2	  4	  3	  2	  5	  4	  5	  5	  1	  4	  2	  2	  3	  3	  3	  4	  5	  5	  2	  2	  3	  3	  4	  3	  4	  4	  5	  5	  2	  4	  3	  2	  3	  2	  5	  2	  3	  2	  3	  3	  3	 21	 28	 18	F
   5	  1	  1	  1	  1	  1	  5	  3	  5	  5	  2	  3	  4	  2	  5	  5	  5	  5	  1	  5	  5	  4	  1	  4	  5	  2	  1	  5	  5	  2	  5	  5	  5	  5	  1	  1	  5	  1	  5	  1	  1	  5	  1	  1	  1	  1	  3	  5	  5	  4	  5	  1	  2	  5	  2	  5	 21	 37	 28	F
   3	  1	  3	  2	  1	  1	  4	  2	  4	  2	  2	  3	  4	  2	  4	  2	  4	  2	  2	  4	  3	  2	  4	  1	  3	  2	  2	  2	  4	  2	  5	  5	  4	  4	  2	  3	  4	  5	  4	  4	  4	  2	  5	  2	  3	  4	  3	  4	  4	  1	  4	  1	  2	  2	  2	  3	 20	 26	 21	F
   2	  1	  1	  1	  1	  1	  4	  2	  5	  2	  5	  4	  5	  2	  2	  4	  4	  4	  2	  5	  1	  4	  3	  1	  5	  4	  5	  2	  2	  4	  1	  5	  2	  2	  5	  4	  4	  4	  4	  5	  2	  4	  4	  4	  4	  3	  2	  4	  4	  1	  4	  1	  2	  1	  1	  4	 21	 24	 19	F
   3	  1	  2	  1	  1	  1	  5	  1	  4	  4	  2	  4	  4	  1	  4	  1	  4	  4	  2	  4	  2	  2	  3	  1	  5	  4	  2	  2	  3	  2	  5	  4	  4	  4	  2	  4	  4	  5	  4	  4	  4	  4	  4	  3	  5	  5	  4	  4	  4	  2	  4	  1	  4	  2	  1	  4	 25	 30	 27	F
   4	  2	  3	  2	  1	  1	  4	  3	  4	  4	  3	  4	  5	  3	  4	  2	  4	  2	  3	  4	  5	  2	  2	  1	  4	  2	  3	  4	  4	  2	  4	  5	  4	  2	  4	  5	  4	  2	  1	  5	  2	  2	  3	  3	  5	  3	  3	  3	  2	  3	  4	  2	  3	  4	  3	  2	 27	 29	  0	F
   1	  1	  1	  1	  2	  1	  4	  4	  3	  5	  4	  4	  3	  4	  4	  3	  4	  4	  5	  4	  4	  3	  4	  4	  4	  5	  4	  3	  4	  4	  3	  4	  5	  4	  4	  3	  4	  4	  5	  4	  4	  4	  4	  2	  2	  5	  4	  4	  3	  4	  3	  2	  3	  3	  3	  3	 20	 32	  0	F
   3	  2	  1	  1	  1	  1	  4	  4	  3	  2	  3	  2	  2	  5	  4	  5	  2	  3	  4	  2	  2	  5	  4	  2	  3	  3	  5	  1	  2	  5	  2	  5	  2	  4	  4	  2	  2	  5	  5	  4	  2	  5	  5	  1	  1	  5	  3	  4	  3	  2	  3	  2	  2	  3	  2	  4	 21	 28	 24	M
   3	  1	  2	  1	  1	  1	  3	  2	  4	  3	  2	  4	  4	  2	  3	  2	  5	  3	  2	  5	  4	  4	  3	  2	  5	  2	  2	  5	  4	  3	  4	  5	  3	  2	  2	  4	  4	  4	  3	  5	  4	  4	  5	  2	  4	  4	  1	  4	  4	  3	  4	  1	  3	  3	  2	  4	 24	 29	 21	F
   4	  1	  2	  1	  1	  1	  3	  3	  4	  2	  4	  3	  4	  2	  3	  2	  5	  4	  2	  4	  2	  4	  4	  1	  4	  2	  4	  3	  2	  2	  4	  4	  4	  1	  3	  4	  4	  5	  5	  5	  4	  3	  5	  2	  3	  5	  2	  3	  2	  4	  2	  2	  1	  3	  4	  1	 20	 24	 20	F
   4	  3	  4	  5	  4	  5	  3	  1	  5	  3	  4	  4	  4	  2	  3	  2	  4	  3	  2	  4	  2	  4	  2	  1	  4	  2	  2	  4	  4	  4	  1	  4	  4	  2	  1	  4	  5	  5	  5	  5	  3	  3	  4	  3	  5	  4	  2	  4	  4	  3	  4	  2	  3	  3	  2	  4	 21	 31	 28	M
   3	  2	  2	  1	  1	  1	  4	  1	  4	  4	  3	  3	  4	  2	  4	  1	  4	  4	  2	  4	  4	  2	  3	  1	  3	  4	  3	  4	  2	  1	  5	  5	  3	  3	  2	  4	  1	  3	  3	  4	  4	  4	  4	  4	  4	  3	  1	  2	  3	  2	  4	  1	  1	  1	  1	  3	 20	 19	 12	F
   3	  4	  3	  2	  1	  1	  4	  3	  4	  1	  2	  2	  4	  3	  4	  2	  4	  2	  2	  5	  4	  3	  2	  1	  4	  2	  3	  2	  1	  2	  1	  5	  4	  1	  3	  4	  4	  3	  1	  4	  4	  3	  4	  2	  5	  2	  2	  3	  1	  2	  1	  2	  1	  5	  1	  2	 20	 20	 21	F
